epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4898,1.88339,4.16885,1.08102,0.02276,0.29293,0.2657,0.21977,1.65203,3.57993,0.97075,0.00037154,0.00037154,0.00037154
2,15.0171,1.82859,2.95279,1.04812,0.01603,0.27556,0.25804,0.22576,1.60094,3.36241,0.97612,0.000732377,0.000732377,0.000732377
3,18.607,1.89158,2.69588,1.05049,0.05375,0.61192,0.45615,0.29452,1.66147,3.07441,1.01011,0.00106775,0.00106775,0.00106775
4,22.1957,1.85998,2.65845,1.06229,0.93775,0.42597,0.59552,0.38233,1.73634,2.53771,1.02841,0.00128753,0.00128753,0.00128753
5,25.7898,1.82155,2.46191,1.04573,0.73041,0.5948,0.63888,0.39892,1.67974,1.66384,1.01122,0.00124037,0.00124037,0.00124037
6,29.3011,1.72746,2.36345,1.02646,0.7532,0.61049,0.67188,0.42715,1.63312,1.52175,1.00596,0.00119322,0.00119322,0.00119322
7,32.809,1.74708,2.19777,1.02561,0.75289,0.609,0.68247,0.4309,1.60632,1.46214,1.00326,0.00114606,0.00114606,0.00114606
8,36.2019,1.71606,2.13899,1.02105,0.73834,0.64096,0.69275,0.44418,1.58108,1.39884,0.99744,0.0010989,0.0010989,0.0010989
9,40.007,1.66814,1.98498,1.00239,0.74879,0.68079,0.71254,0.44746,1.54859,1.3638,0.99055,0.00105174,0.00105174,0.00105174
10,43.3656,1.70039,1.95552,0.99843,0.75729,0.65754,0.71191,0.44617,1.57145,1.35173,0.99314,0.00100459,0.00100459,0.00100459
11,46.6666,1.64714,2.03994,1.00233,0.82721,0.68495,0.7514,0.46593,1.54268,1.28121,0.98502,0.00095743,0.00095743,0.00095743
12,49.98,1.60139,1.7707,0.98923,0.81052,0.70382,0.75171,0.47136,1.52213,1.27747,0.97807,0.000910273,0.000910273,0.000910273
13,53.2837,1.67523,1.73458,0.99368,0.85546,0.68696,0.7548,0.47126,1.52387,1.24897,0.97828,0.000863116,0.000863116,0.000863116
14,56.5082,1.63163,1.68352,0.98455,0.83968,0.69217,0.76684,0.48104,1.48571,1.23971,0.96661,0.000815959,0.000815959,0.000815959
15,59.7277,1.55376,1.68888,0.96637,0.77053,0.7016,0.75932,0.48277,1.48695,1.24719,0.9648,0.000768802,0.000768802,0.000768802
16,62.9866,1.582,1.62539,0.97268,0.83307,0.69694,0.7638,0.48491,1.51136,1.23461,0.96948,0.000721645,0.000721645,0.000721645
17,66.2604,1.58347,1.57484,0.97891,0.83836,0.7167,0.7767,0.47838,1.49544,1.20519,0.97418,0.000674488,0.000674488,0.000674488
18,69.4688,1.57675,1.56252,0.97455,0.82729,0.73095,0.77995,0.48129,1.50292,1.2152,0.97287,0.000627331,0.000627331,0.000627331
19,72.6541,1.57897,1.62764,0.9646,0.81596,0.73772,0.77174,0.48582,1.52449,1.24094,0.97313,0.000580174,0.000580174,0.000580174
20,75.8998,1.58506,1.62775,0.96719,0.83374,0.75403,0.80314,0.5057,1.46377,1.17358,0.96583,0.000533017,0.000533017,0.000533017
21,80.5013,1.55583,1.84501,0.99438,0.82297,0.73647,0.79664,0.50444,1.47041,1.16187,0.96931,0.00048586,0.00048586,0.00048586
22,83.7217,1.55322,1.88305,0.97966,0.85174,0.71043,0.77988,0.48798,1.49949,1.19627,0.97047,0.000438703,0.000438703,0.000438703
23,86.9469,1.6001,1.84959,0.97135,0.85455,0.71703,0.76856,0.49008,1.51178,1.20309,0.97026,0.000391546,0.000391546,0.000391546
24,90.2078,1.54435,1.75205,0.98965,0.84887,0.72772,0.78371,0.4978,1.47375,1.13901,0.96428,0.000344389,0.000344389,0.000344389
25,93.7756,1.53883,1.72091,0.98391,0.85877,0.72047,0.78393,0.49583,1.47378,1.13334,0.96437,0.000297232,0.000297232,0.000297232
26,96.9917,1.52716,1.70289,0.98847,0.82305,0.7437,0.78189,0.49418,1.46974,1.15247,0.95966,0.000250075,0.000250075,0.000250075
27,100.184,1.5091,1.65734,0.97,0.82297,0.74052,0.78705,0.50123,1.46027,1.13862,0.95641,0.000202918,0.000202918,0.000202918
28,103.35,1.50687,1.67123,0.98399,0.82936,0.74938,0.79375,0.5055,1.44979,1.12997,0.95569,0.000155761,0.000155761,0.000155761
29,106.573,1.52681,1.65805,0.96653,0.83435,0.75005,0.80029,0.50925,1.4347,1.11466,0.95364,0.000108604,0.000108604,0.000108604
30,109.818,1.49031,1.66358,0.99237,0.84669,0.74712,0.80384,0.51195,1.43871,1.10792,0.95295,6.1447e-05,6.1447e-05,6.1447e-05
